region,year,Season,season,ecconomy_contribrate,unemployment_rate
کل کشور,1394,بهار,1,38,10.8
آذربایجان شرقی,1394,بهار,1,40.2,7.7
آذربایجان غربی,1394,بهار,1,40.7,10.7
اردبیل,1394,بهار,1,43.6,10.5
اصفهان,1394,بهار,1,41.1,13.6
البرز,1394,بهار,1,37.5,15.8
ایلام,1394,بهار,1,37.3,12.2
بوشهر,1394,بهار,1,37.3,9.6
تهران,1394,بهار,1,36.2,7.4
چهارمحال و بختیاری,1394,بهار,1,36,13.8
خراسان جنوبی,1394,بهار,1,35.8,9.1
خراسان رضوی,1394,بهار,1,40.1,14.6
خراسان شمالی,1394,بهار,1,41.9,9.5
خوزستان,1394,بهار,1,37.7,12
زنجان,1394,بهار,1,38.5,8.5
سمنان,1394,بهار,1,39.7,10.7
سیستان و بلوچستان,1394,بهار,1,29.7,12.5
فارس,1394,بهار,1,37.7,12.6
قزوین,1394,بهار,1,40.3,11.9
قم,1394,بهار,1,32.6,9.9
کردستان,1394,بهار,1,40.7,9.8
کرمان,1394,بهار,1,32.1,5.9
کرمانشاه,1394,بهار,1,39.6,13.7
کهگیلویه و بویراحمد,1394,بهار,1,33.2,16
گلستان,1394,بهار,1,38.8,12.7
گیلان,1394,بهار,1,42,10
لرستان,1394,بهار,1,35.6,10.7
مازندران,1394,بهار,1,42.1,10
مرکزی,1394,بهار,1,36.6,10.3
هرمزگان,1394,بهار,1,36.1,15.6
همدان,1394,بهار,1,37.7,6.7
یزد,1394,بهار,1,38.2,7.9
کل کشور,1394,تابستان,2,38.9,10.9
آذربایجان شرقی,1394,تابستان,2,39.9,6.6
آذربایجان غربی,1394,تابستان,2,42.8,11
اردبیل,1394,تابستان,2,43.1,11.6
اصفهان,1394,تابستان,2,41.7,13.3
البرز,1394,تابستان,2,38.2,12.5
ایلام,1394,تابستان,2,35.1,12.6
بوشهر,1394,تابستان,2,34.7,8.8
تهران,1394,تابستان,2,37.7,9.2
چهارمحال و بختیاری,1394,تابستان,2,37.7,16
خراسان جنوبی,1394,تابستان,2,37.5,7.2
خراسان رضوی,1394,تابستان,2,40.6,14.2
خراسان شمالی,1394,تابستان,2,43.6,11.1
خوزستان,1394,تابستان,2,37.2,10.7
زنجان,1394,تابستان,2,42.2,8.6
سمنان,1394,تابستان,2,39.5,8.3
سیستان و بلوچستان,1394,تابستان,2,29.5,11.8
فارس,1394,تابستان,2,38,11.2
قزوین,1394,تابستان,2,41.3,12.4
قم,1394,تابستان,2,36,12
کردستان,1394,تابستان,2,39.8,9.4
کرمان,1394,تابستان,2,36.1,6.5
کرمانشاه,1394,تابستان,2,40.4,15.2
کهگیلویه و بویراحمد,1394,تابستان,2,32.5,13.9
گلستان,1394,تابستان,2,38.6,10.1
گیلان,1394,تابستان,2,44.2,11.2
لرستان,1394,تابستان,2,36.9,13.4
مازندران,1394,تابستان,2,41.7,12.1
مرکزی,1394,تابستان,2,37.3,7.4
هرمزگان,1394,تابستان,2,37.4,11.7
همدان,1394,تابستان,2,37.8,8
یزد,1394,تابستان,2,42.2,11.8
کل کشور,1394,پاییز,3,38.1,10.7
آذربایجان شرقی,1394,پاییز,3,39.6,6.7
آذربایجان غربی,1394,پاییز,3,39.9,9.5
اردبیل,1394,پاییز,3,44.3,12.4
اصفهان,1394,پاییز,3,39.5,13.2
البرز,1394,پاییز,3,37.4,11.3
ایلام,1394,پاییز,3,36.7,11.5
بوشهر,1394,پاییز,3,35.8,11.3
تهران,1394,پاییز,3,36.8,7.6
چهارمحال و بختیاری,1394,پاییز,3,36.4,16.7
خراسان جنوبی,1394,پاییز,3,37.9,8.5
خراسان رضوی,1394,پاییز,3,41.9,10.8
خراسان شمالی,1394,پاییز,3,41.6,11.2
خوزستان,1394,پاییز,3,37.1,10.4
زنجان,1394,پاییز,3,41.1,12.2
سمنان,1394,پاییز,3,37.9,7.2
سیستان و بلوچستان,1394,پاییز,3,30.3,11.1
فارس,1394,پاییز,3,37,11.9
قزوین,1394,پاییز,3,39.9,10.6
قم,1394,پاییز,3,36.7,12
کردستان,1394,پاییز,3,39.1,12.5
کرمان,1394,پاییز,3,37.4,9.5
کرمانشاه,1394,پاییز,3,38.9,18.6
کهگیلویه و بویراحمد,1394,پاییز,3,34.6,17
گلستان,1394,پاییز,3,35.6,9.4
گیلان,1394,پاییز,3,39.4,13.4
لرستان,1394,پاییز,3,37,14.3
مازندران,1394,پاییز,3,40,15.3
مرکزی,1394,پاییز,3,36.7,5
هرمزگان,1394,پاییز,3,35.4,9.1
همدان,1394,پاییز,3,36.8,8.6
یزد,1394,پاییز,3,42.1,12.4
کل کشور,1394,زمستان,4,37.7,11.8
آذربایجان شرقی,1394,زمستان,4,37.5,8.1
آذربایجان غربی,1394,زمستان,4,36.1,12.5
اردبیل,1394,زمستان,4,44,16.7
اصفهان,1394,زمستان,4,39.4,15
البرز,1394,زمستان,4,37,9.9
ایلام,1394,زمستان,4,36.9,10.1
بوشهر,1394,زمستان,4,37.3,9
تهران,1394,زمستان,4,37.8,8.3
چهارمحال و بختیاری,1394,زمستان,4,34.2,19.1
خراسان جنوبی,1394,زمستان,4,34.9,9.8
خراسان رضوی,1394,زمستان,4,38,14
خراسان شمالی,1394,زمستان,4,40.3,12.5
خوزستان,1394,زمستان,4,37.9,10.5
زنجان,1394,زمستان,4,37.6,9.2
سمنان,1394,زمستان,4,36.1,7.4
سیستان و بلوچستان,1394,زمستان,4,30.3,10.8
فارس,1394,زمستان,4,37.5,12.9
قزوین,1394,زمستان,4,39.2,11.9
قم,1394,زمستان,4,35.8,11.1
کردستان,1394,زمستان,4,41.2,21.2
کرمان,1394,زمستان,4,35.3,9.4
کرمانشاه,1394,زمستان,4,39.1,23.1
کهگیلویه و بویراحمد,1394,زمستان,4,37.5,22.9
گلستان,1394,زمستان,4,37.5,15
گیلان,1394,زمستان,4,38.9,9.6
لرستان,1394,زمستان,4,35.4,14.5
مازندران,1394,زمستان,4,40.5,11
مرکزی,1394,زمستان,4,35.5,9
هرمزگان,1394,زمستان,4,40,11.2
همدان,1394,زمستان,4,35.1,10.7
یزد,1394,زمستان,4,41.6,12.3
