region,year,Season,season,ecconomy_contribrate,unemployment_rate,locid
کل کشور,1394,بهار,1,38,10.8,99
آذربایجان شرقی,1394,بهار,1,40.2,7.7,03
آذربایجان غربی,1394,بهار,1,40.7,10.7,04
اردبیل,1394,بهار,1,43.6,10.5,24
اصفهان,1394,بهار,1,41.1,13.6,10
البرز,1394,بهار,1,37.5,15.8,30
ایلام,1394,بهار,1,37.3,12.2,16
بوشهر,1394,بهار,1,37.3,9.6,18
تهران,1394,بهار,1,36.2,7.4,23
چهارمحال و بختیاری,1394,بهار,1,36,13.8,14
خراسان جنوبی,1394,بهار,1,35.8,9.1,29
خراسان رضوی,1394,بهار,1,40.1,14.6,09
خراسان شمالی,1394,بهار,1,41.9,9.5,28
خوزستان,1394,بهار,1,37.7,12,06
زنجان,1394,بهار,1,38.5,8.5,19
سمنان,1394,بهار,1,39.7,10.7,20
سیستان و بلوچستان,1394,بهار,1,29.7,12.5,11
فارس,1394,بهار,1,37.7,12.6,07
قزوین,1394,بهار,1,40.3,11.9,26
قم,1394,بهار,1,32.6,9.9,25
کردستان,1394,بهار,1,40.7,9.8,12
کرمان,1394,بهار,1,32.1,5.9,08
کرمانشاه,1394,بهار,1,39.6,13.7,05
کهگیلویه و بویراحمد,1394,بهار,1,33.2,16,17
گلستان,1394,بهار,1,38.8,12.7,27
گیلان,1394,بهار,1,42,10,01
لرستان,1394,بهار,1,35.6,10.7,15
مازندران,1394,بهار,1,42.1,10,02
مرکزی,1394,بهار,1,36.6,10.3,00
هرمزگان,1394,بهار,1,36.1,15.6,22
همدان,1394,بهار,1,37.7,6.7,13
یزد,1394,بهار,1,38.2,7.9,21
کل کشور,1394,تابستان,2,38.9,10.9,99
آذربایجان شرقی,1394,تابستان,2,39.9,6.6,03
آذربایجان غربی,1394,تابستان,2,42.8,11,04
اردبیل,1394,تابستان,2,43.1,11.6,24
اصفهان,1394,تابستان,2,41.7,13.3,10
البرز,1394,تابستان,2,38.2,12.5,30
ایلام,1394,تابستان,2,35.1,12.6,16
بوشهر,1394,تابستان,2,34.7,8.8,18
تهران,1394,تابستان,2,37.7,9.2,23
چهارمحال و بختیاری,1394,تابستان,2,37.7,16,14
خراسان جنوبی,1394,تابستان,2,37.5,7.2,29
خراسان رضوی,1394,تابستان,2,40.6,14.2,09
خراسان شمالی,1394,تابستان,2,43.6,11.1,28
خوزستان,1394,تابستان,2,37.2,10.7,06
زنجان,1394,تابستان,2,42.2,8.6,19
سمنان,1394,تابستان,2,39.5,8.3,20
سیستان و بلوچستان,1394,تابستان,2,29.5,11.8,11
فارس,1394,تابستان,2,38,11.2,07
قزوین,1394,تابستان,2,41.3,12.4,26
قم,1394,تابستان,2,36,12,25
کردستان,1394,تابستان,2,39.8,9.4,12
کرمان,1394,تابستان,2,36.1,6.5,08
کرمانشاه,1394,تابستان,2,40.4,15.2,05
کهگیلویه و بویراحمد,1394,تابستان,2,32.5,13.9,17
گلستان,1394,تابستان,2,38.6,10.1,27
گیلان,1394,تابستان,2,44.2,11.2,01
لرستان,1394,تابستان,2,36.9,13.4,15
مازندران,1394,تابستان,2,41.7,12.1,02
مرکزی,1394,تابستان,2,37.3,7.4,00
هرمزگان,1394,تابستان,2,37.4,11.7,22
همدان,1394,تابستان,2,37.8,8,13
یزد,1394,تابستان,2,42.2,11.8,21
کل کشور,1394,پاییز,3,38.1,10.7,99
آذربایجان شرقی,1394,پاییز,3,39.6,6.7,03
آذربایجان غربی,1394,پاییز,3,39.9,9.5,04
اردبیل,1394,پاییز,3,44.3,12.4,24
اصفهان,1394,پاییز,3,39.5,13.2,10
البرز,1394,پاییز,3,37.4,11.3,30
ایلام,1394,پاییز,3,36.7,11.5,16
بوشهر,1394,پاییز,3,35.8,11.3,18
تهران,1394,پاییز,3,36.8,7.6,23
چهارمحال و بختیاری,1394,پاییز,3,36.4,16.7,14
خراسان جنوبی,1394,پاییز,3,37.9,8.5,29
خراسان رضوی,1394,پاییز,3,41.9,10.8,09
خراسان شمالی,1394,پاییز,3,41.6,11.2,28
خوزستان,1394,پاییز,3,37.1,10.4,06
زنجان,1394,پاییز,3,41.1,12.2,19
سمنان,1394,پاییز,3,37.9,7.2,20
سیستان و بلوچستان,1394,پاییز,3,30.3,11.1,11
فارس,1394,پاییز,3,37,11.9,07
قزوین,1394,پاییز,3,39.9,10.6,26
قم,1394,پاییز,3,36.7,12,25
کردستان,1394,پاییز,3,39.1,12.5,12
کرمان,1394,پاییز,3,37.4,9.5,08
کرمانشاه,1394,پاییز,3,38.9,18.6,05
کهگیلویه و بویراحمد,1394,پاییز,3,34.6,17,17
گلستان,1394,پاییز,3,35.6,9.4,27
گیلان,1394,پاییز,3,39.4,13.4,01
لرستان,1394,پاییز,3,37,14.3,15
مازندران,1394,پاییز,3,40,15.3,02
مرکزی,1394,پاییز,3,36.7,5,00
هرمزگان,1394,پاییز,3,35.4,9.1,22
همدان,1394,پاییز,3,36.8,8.6,13
یزد,1394,پاییز,3,42.1,12.4,21
کل کشور,1394,زمستان,4,37.7,11.8,99
آذربایجان شرقی,1394,زمستان,4,37.5,8.1,03
آذربایجان غربی,1394,زمستان,4,36.1,12.5,04
اردبیل,1394,زمستان,4,44,16.7,24
اصفهان,1394,زمستان,4,39.4,15,10
البرز,1394,زمستان,4,37,9.9,30
ایلام,1394,زمستان,4,36.9,10.1,16
بوشهر,1394,زمستان,4,37.3,9,18
تهران,1394,زمستان,4,37.8,8.3,23
چهارمحال و بختیاری,1394,زمستان,4,34.2,19.1,14
خراسان جنوبی,1394,زمستان,4,34.9,9.8,29
خراسان رضوی,1394,زمستان,4,38,14,09
خراسان شمالی,1394,زمستان,4,40.3,12.5,28
خوزستان,1394,زمستان,4,37.9,10.5,06
زنجان,1394,زمستان,4,37.6,9.2,19
سمنان,1394,زمستان,4,36.1,7.4,20
سیستان و بلوچستان,1394,زمستان,4,30.3,10.8,11
فارس,1394,زمستان,4,37.5,12.9,07
قزوین,1394,زمستان,4,39.2,11.9,26
قم,1394,زمستان,4,35.8,11.1,25
کردستان,1394,زمستان,4,41.2,21.2,12
کرمان,1394,زمستان,4,35.3,9.4,08
کرمانشاه,1394,زمستان,4,39.1,23.1,05
کهگیلویه و بویراحمد,1394,زمستان,4,37.5,22.9,17
گلستان,1394,زمستان,4,37.5,15,27
گیلان,1394,زمستان,4,38.9,9.6,01
لرستان,1394,زمستان,4,35.4,14.5,15
مازندران,1394,زمستان,4,40.5,11,02
مرکزی,1394,زمستان,4,35.5,9,00
هرمزگان,1394,زمستان,4,40,11.2,22
همدان,1394,زمستان,4,35.1,10.7,13
یزد,1394,زمستان,4,41.6,12.3,21
